Employee,Employee_Name,Is_Guest,Date,Status,Location,Day,,
2224,Blake Allen,,22-11-2023,WFO,Bangalore,Wednesday,,
2022,ScarlettKing,,22-11-2023,WFO,Bangalore,Wednesday,,
1946,SiennaFoster,,22-11-2023,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,22-11-2023,WFO,Bangalore,Wednesday,,
2213,Elliot Powell,,22-11-2023,WFH,Bangalore,Wednesday,,
2006,LeviHudson,,22-11-2023,WFO,Bangalore,Wednesday,,
2012,DavidRodriguez,,22-11-2023,WFO,Bangalore,Wednesday,,
1981,MayaWhite,,22-11-2023,WFO,Bangalore,Wednesday,,
1947,SkylarBryant,,22-11-2023,WFO,Bangalore,Wednesday,,
1781,TheodoreSanchez,,22-11-2023,WFH,Bangalore,Wednesday,,
1234,Sidney Foster,1,22-11-2023,WFH,Bangalore,Wednesday,,
2221,Casey Reed,,22-11-2023,WFO,Bangalore,Wednesday,,
2017,AlexanderShaw,,22-11-2023,WFO,Bangalore,Wednesday,,
1957,EverlyMartin,,22-11-2023,WFO,Bangalore,Wednesday,,
2002,LeahGeorge,,22-11-2023,WFO,Bangalore,Wednesday,,
2005,MilaRodriguez,,22-11-2023,CO,Bangalore,Wednesday,,
2222,Alex Perry,,22-11-2023,WFO,Bangalore,Wednesday,,
1953,HarperMurphy,,22-11-2023,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,22-11-2023,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,22-11-2023,WFH,Bangalore,Wednesday,,
2214,Shawn Peterson,,22-11-2023,WFO,Bangalore,Wednesday,,
2020,BraydenScott,,22-11-2023,WFO,Bangalore,Wednesday,,
1247,PhoebePerry,,22-11-2023,WFO,Bangalore,Wednesday,,
2018,LaylaCameron,,22-11-2023,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,23-11-2023,WFH,Bangalore,Thursday,,
1234,Sidney Foster,1,23-11-2023,WFH,Bangalore,Thursday,,
2017,AlexanderShaw,,23-11-2023,WFO,Bangalore,Thursday,,
2018,LaylaCameron,,23-11-2023,WFH,Bangalore,Thursday,,
1247,PhoebePerry,,23-11-2023,OL,Bangalore,Thursday,,
2214,Shawn Peterson,,23-11-2023,WFO,Bangalore,Thursday,,
1941,EvelynHall,,23-11-2023,WFH,Bangalore,Thursday,,
1953,HarperMurphy,,23-11-2023,WFH,Bangalore,Thursday,,
2222,Alex Perry,,23-11-2023,WFO,Bangalore,Thursday,,
2005,MilaRodriguez,,23-11-2023,WFH,Bangalore,Thursday,,
1957,EverlyMartin,,23-11-2023,WFO,Bangalore,Thursday,,
2224,Blake Allen,,23-11-2023,WFO,Bangalore,Thursday,,
2002,LeahGeorge,,23-11-2023,WFO,Bangalore,Thursday,,
2221,Casey Reed,,23-11-2023,WFH,Bangalore,Thursday,,
1781,TheodoreSanchez,,23-11-2023,WFH,Bangalore,Thursday,,
1947,SkylarBryant,,23-11-2023,WFO,Bangalore,Thursday,,
1981,MayaWhite,,23-11-2023,WFH,Bangalore,Thursday,,
2012,DavidRodriguez,,23-11-2023,WFO,Bangalore,Thursday,,
2006,LeviHudson,,23-11-2023,WFH,Bangalore,Thursday,,
2213,Elliot Powell,,23-11-2023,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,23-11-2023,WFO,Bangalore,Thursday,,
1946,SiennaFoster,,23-11-2023,WFH,Bangalore,Thursday,,
2022,ScarlettKing,,23-11-2023,WFO,Bangalore,Thursday,,
2020,BraydenScott,,23-11-2023,WFH,Bangalore,Thursday,,
2213,Elliot Powell,,24-11-2023,WFH,Bangalore,Friday,,
2022,ScarlettKing,,24-11-2023,WFO,Bangalore,Friday,,
1946,SiennaFoster,,24-11-2023,WFH,Bangalore,Friday,,
2218,Jesse Morgan,,24-11-2023,WFO,Bangalore,Friday,,
2006,LeviHudson,,24-11-2023,WFH,Bangalore,Friday,,
1981,MayaWhite,,24-11-2023,WFH,Bangalore,Friday,,
2214,Shawn Peterson,,24-11-2023,WFO,Bangalore,Friday,,
2018,LaylaCameron,,24-11-2023,WFH,Bangalore,Friday,,
1247,PhoebePerry,,24-11-2023,WFO,Bangalore,Friday,,
2012,DavidRodriguez,,24-11-2023,WFO,Bangalore,Friday,,
1973,EmmaBishop,,24-11-2023,WFH,Bangalore,Friday,,
1941,EvelynHall,,24-11-2023,WFH,Bangalore,Friday,,
1953,HarperMurphy,,24-11-2023,WFO,Bangalore,Friday,,
2017,AlexanderShaw,,24-11-2023,WFO,Bangalore,Friday,,
2222,Alex Perry,,24-11-2023,WFO,Bangalore,Friday,,
2002,LeahGeorge,,24-11-2023,WFO,Bangalore,Friday,,
1957,EverlyMartin,,24-11-2023,WFO,Bangalore,Friday,,
2224,Blake Allen,,24-11-2023,WFO,Bangalore,Friday,,
