Employee,First Name,Last Name,Is_Guest,Date,Status,Location,Day
2192,Landon,Parker,,2024-10-15,WFH,Chennai,Tuesday
2070,Isaac,Alexander,,2024-10-15,WFH,Chennai,Tuesday
2068,Charlie,Russell,,2024-10-15,WFH,Chennai,Tuesday
2067,Zoey,Grant,,2024-10-15,WFH,Chennai,Tuesday
2193,Paisley,Carter,,2024-10-15,WFH,Chennai,Tuesday
2064,Alana,Morris,,2024-10-15,WFH,Chennai,Tuesday
2062,Brooklyn,Howard,,2024-10-15,WFH,Chennai,Tuesday
2055,Aiden,Douglas,,2024-10-15,WFH,Chennai,Tuesday
2071,Elise,Nelson,,2024-10-15,WFH,Chennai,Tuesday
2054,Quinn,Perry,,2024-10-15,WFH,Chennai,Tuesday
2052,Daniel,Murphy,,2024-10-15,WFH,Chennai,Tuesday
2051,Leo,Henderson,,2024-10-15,WFH,Chennai,Tuesday
2050,Aidan,Scott,,2024-10-15,WFH,Chennai,Tuesday
2049,Finn,Harrison,,2024-10-15,WFH,Chennai,Tuesday
2048,Eden,Allen,,2024-10-15,WFH,Chennai,Tuesday
2187,Eden,Chang,,2024-10-15,WFH,Chennai,Tuesday
2046,Gavin,Moore,,2024-10-15,WFH,Chennai,Tuesday
2188,Cole,Gabriel,,2024-10-15,WFH,Chennai,Tuesday
2074,Lydia,Grant,,2024-10-15,WFH,Chennai,Tuesday
2075,Felicity,Jackson,,2024-10-15,WFH,Chennai,Tuesday
2076,Aidan,Williams,,2024-10-15,WFH,Chennai,Tuesday
2198,Taylor,Brooks,,2024-10-15,WFH,Chennai,Tuesday
2190,Chang,Will,,2024-10-15,WFH,Chennai,Tuesday
2197,Parker,Russell,,2024-10-15,WFH,Chennai,Tuesday
2088,Knox,Moore,,2024-10-15,WFH,Chennai,Tuesday
2086,Sebastian,Nelson,,2024-10-15,WFH,Chennai,Tuesday
2095,Luna,Gray,,2024-10-15,WFH,Chennai,Tuesday
2189,Maya,Maya,,2024-10-15,WFH,Chennai,Tuesday
2084,Maya,Rodriguez,,2024-10-15,WFH,Chennai,Tuesday
2083,Levi,Warren,,2024-10-15,WFH,Chennai,Tuesday
2082,Maya,Evans,,2024-10-15,WFH,Chennai,Tuesday
2081,Riley,Gordon,,2024-10-15,WFH,Chennai,Tuesday
2080,Matthew,Jackson,,2024-10-15,WFH,Chennai,Tuesday
2079,Jack,Sanchez,,2024-10-15,WFH,Chennai,Tuesday
2078,Emery,Moss,,2024-10-15,WFH,Chennai,Tuesday
2077,Violet,Rogers,,2024-10-15,WFH,Chennai,Tuesday
2199,Reese,Kelly,,2024-10-15,WFH,Chennai,Tuesday
2091,Owen,Powell,,2024-10-15,WFH,Chennai,Tuesday
2045,Adam,Douglas,,2024-10-15,WFH,Chennai,Tuesday
2044,Chloe,Moore,,2024-10-15,WFH,Chennai,Tuesday
1870,Liana,Harrison,,2024-10-15,WFH,Chennai,Tuesday
2042,Gabriel,Lee,,2024-10-15,WFH,Chennai,Tuesday
1998,Autumn,Gibson,,2024-10-15,WFH,Chennai,Tuesday
1996,Sophia,Cameron,,2024-10-15,WFH,Chennai,Tuesday
1993,Leo,Cole,,2024-10-15,WFH,Chennai,Tuesday
1991,Vera,Rodriguez,,2024-10-15,WFH,Chennai,Tuesday
1990,Cameron,Allen,,2024-10-15,WFH,Chennai,Tuesday
1970,Vera,Gonzalez,,2024-10-15,WFH,Chennai,Tuesday
2183,Davis,Kaitlyn,,2024-10-15,WFH,Chennai,Tuesday
2000,Leo,Evans,,2024-10-15,WFH,Chennai,Tuesday
1959,Aidan,Marshall,,2024-10-15,WFH,Chennai,Tuesday
2182,Robinson,Hudson,,2024-10-15,WFH,Chennai,Tuesday
1936,Aiden,Morgan,,2024-10-15,WFH,Chennai,Tuesday
1935,Maya,Gordon,,2024-10-15,WFH,Chennai,Tuesday
1932,William,Scott,,2024-10-15,WFH,Chennai,Tuesday
1920,Isaac,Murphy,,2024-10-15,WFH,Chennai,Tuesday
